role	mode	pattern	description
public-entrypoint	755	install.sh	Portable installer, the documented way in
public-entrypoint	755	doctor	Portable read-only health report
public-entrypoint	755	scripts/lint.sh	Repository lint entry point
public-entrypoint	755	scripts/test.sh	Repository test entry point
internal-executable	755	scripts/doctor.sh	Doctor implementation behind ./doctor
internal-executable	755	scripts/list-shell-files.py	The tracked shell files ./scripts/lint.sh checks, read by that entry point
public-entrypoint	755	scripts/benchmark-shell-startup.sh	Manual shell-startup measurement
public-entrypoint	755	scripts/test-dev-workflows.sh	Disposable development-workflow smoke tests
public-entrypoint	755	scripts/update-starship-themes.sh	Generate the tracked Starship configurations
public-entrypoint	755	scripts/check-pin-freshness.sh	Report which pinned components have newer upstream releases
public-entrypoint	755	scripts/scan-secrets.sh	Scan the working tree and history for committed credentials
public-entrypoint	755	docs/cheatsheets/generate.sh	Render the printable cheat sheets
public-entrypoint	755	docs/cheatsheets/verify.sh	Verify the printable cheat sheets
platform-entrypoint	755	platforms/*/install.sh	Platform installer, selected by --platform
installed-system-command	644	platforms/fedora/assets/dotfiles-sway	Installed to /usr/local/bin by install-sway.sh, which sets the executable bit; the Wayland session Exec=
internal-executable	755	common/*.sh	Portable component installers and verifiers
platform-command	755	platforms/*/scripts/*.sh	Belongs to one platform; safe to run directly for one component
internal-executable	755	scripts/install-main.sh	Root installer body, run through an explicit interpreter
internal-executable	755	scripts/bootstrap-macos.sh	macOS Bash bootstrap, run through an explicit interpreter
portable-wrapper	755	scripts/install-ai.sh	Portable alias for common/install-ai.sh
portable-wrapper	755	scripts/install-mise.sh	Portable alias for common/install-mise.sh
portable-wrapper	755	scripts/install-neovim-tools.sh	Portable alias for common/install-neovim-tools.sh
portable-wrapper	755	scripts/install-tmux-theme.sh	Portable alias for common/install-tmux-theme.sh
portable-wrapper	755	scripts/verify-ai.sh	Portable alias for common/verify-ai.sh
deprecated-wrapper	755	scripts/*.sh	Deprecated compatibility wrapper, kept forwarding during its removal window
sourced-library	644	common/lib/*.sh	Sourced by installers and the theme command
sourced-library	644	platforms/*/lib/*.sh	Sourced by one platform's scripts
sourced-library	644	scripts/lib/*.sh	Deprecated sourced compatibility shim
sourced-library	644	scripts/lib/*.py	Imported by the render/validate scripts
sourced-library	644	tests/lib/*.sh	Sourced by the test suites
stowed-command	755	bin/.local/bin/*	Stowed onto PATH
stowed-command	755	platforms/*/stow/*/.local/bin/*	Stowed onto PATH by a platform package
stowed-config	644	zsh/.zshenv	Sourced by every Zsh
stowed-config	644	zsh/.config/zsh/*	Sourced by every interactive Zsh
stowed-config	644	platforms/*/stow/zsh-platform/.config/zsh/*.zsh	Sourced by one platform's Zsh
stowed-config	644	platforms/*/stow/theme-hooks/.config/dotfiles/theme-hooks.d/*.sh	Sourced by the theme command; docs/workflows/theming.md states the hook contract
stowed-data	644	fzf/.config/fzf/themes/*.sh	Sourced fzf colour snippet
test-entrypoint	755	tests/test-*.sh	Test suite, run by ./scripts/test.sh
test-entrypoint	755	tests/integration/*.sh	Integration suite, run explicitly
test-entrypoint	755	tests/support/*.sh	Test fixture helper, run by a suite
public-entrypoint	644	verify.ps1	Portable Windows verifier, the documented way in
public-entrypoint	755	scripts/render-action-reference.py	Regenerates the action reference from config/actions.tsv
public-entrypoint	755	scripts/render-capability-matrix.py	Regenerates the capability matrix from config/capabilities.tsv
public-entrypoint	755	scripts/render-file-ownership.py	Regenerates the Stow and machine-local state inventories
public-entrypoint	755	scripts/render-install-flows.py	Regenerates the per-platform install flows from the installers
public-entrypoint	755	scripts/render-installer-options.py	Regenerates installer option documentation
public-entrypoint	755	scripts/render-package-ownership.py	Regenerates the package, mise and Mason inventories
public-entrypoint	755	scripts/render-verifier-reference.py	Regenerates the per-platform verifier reference from config/capabilities.tsv
public-entrypoint	755	scripts/render-supply-chain.py	Regenerates the supply-chain source documentation
public-entrypoint	755	scripts/validate-actions.py	Validates config/actions.tsv against its consumers
public-entrypoint	755	scripts/validate-capabilities.py	Validates network-source provenance against config/capabilities.tsv
public-entrypoint	755	scripts/validate-docs.py	Validates documentation architecture and cross-references
public-entrypoint	755	scripts/validate-install-options.py	Validates each installer argv parser against config/install-options.tsv
public-entrypoint	755	scripts/validate-library-guards.py	Validates that every shared library sources common/lib/common.sh itself
public-entrypoint	755	scripts/validate-neovim-plugin-specs.py	Validates Neovim plugin fragments against lazy.nvim's merge rules
public-entrypoint	755	scripts/validate-command-provider-closure.py	Validates the command-provider dependency closure
public-entrypoint	755	scripts/validate-network-sources.py	Validates the network-source registry
public-entrypoint	755	scripts/validate-pin-freshness.py	Validates that every manual-bump source declares how its staleness is noticed
public-entrypoint	755	scripts/validate-repository-hygiene.py	Validates repository hygiene rules
public-entrypoint	755	scripts/validate-plan-network.py	Validates each execution-plan step's declared scripts and the sources they reach
public-entrypoint	755	scripts/validate-shell-file-roles.py	Validates shell/PowerShell/Python file roles and modes
public-entrypoint	755	scripts/validate-symlink-checks.py	Validates that every check_symlink call site names the Stow source it expects
public-entrypoint	755	scripts/validate-tool-floors.py	Validates the dependency version-floor registry and its enforcement
platform-entrypoint	644	platforms/windows/install.ps1	Platform installer, the Windows host pieces for Fedora WSL
internal-executable	644	platforms/windows/verify.ps1	Verifier implementation behind ./verify.ps1
platform-command	644	platforms/windows/set-noctty-theme.ps1	Windows Noctty theme command; safe to run directly
sourced-library	644	platforms/windows/lib/*.ps1	Dot-sourced by the Windows installer and verifier
test-entrypoint	644	tests/test-windows-*.ps1	Test suite, run by the windows validation workflow job
