id	component	owner	kind	url	privilege	tier	requested	resolved	integrity	cadence	rollback	consumers
fedora-os-repos	Fedora base system packages	Fedora Project	rpm-repo	https://mirrors.fedoraproject.org	root	os-rolling	releasever	dnf-history	repo-gpg	distribution	sudo dnf history undo	platforms/fedora/scripts/install-system.sh,platforms/fedora-wsl/scripts/install-system.sh
parrot-os-repos	Parrot base system packages	Parrot Security	apt-repo	https://deb.parrot.sh	root	os-rolling	release	dpkg-status	repo-gpg	distribution	sudo apt-get install --reinstall	platforms/parrot-ctf/scripts/install-system.sh
terra-signing-key	Terra repository signing key	Fyra Labs	gpg-key	https://repos.fyralabs.com/terra$releasever/key.asc	root	immutable-verified	per-releasever	gpg-fingerprint	gpg-fingerprint-pinned	per-fedora-release	sudo rpm -e --allmatches gpg-pubkey-<id>	config/terra-keys.tsv,platforms/fedora/install.sh,platforms/fedora/lib/fedora.sh,platforms/fedora/scripts/install-terra.sh,platforms/fedora/scripts/install-asus-hardware.sh
terra-repo	Terra packages (ghostty, mise, starship)	Fyra Labs	rpm-repo	https://repos.fyralabs.com/terra$releasever	root	os-rolling	terra-release	rpm -q terra-release	repo-gpg	rolling	sudo dnf remove terra-release	platforms/fedora/install.sh,platforms/fedora/lib/fedora.sh,platforms/fedora/scripts/install-terra.sh,platforms/fedora/scripts/install-asus-hardware.sh
rpmfusion-free-release	RPM Fusion free release package	RPM Fusion	rpm-package	https://mirrors.rpmfusion.org/free/fedora/rpmfusion-free-release-${fedora_version}.noarch.rpm	root	os-rolling	releasever	rpm -q rpmfusion-free-release	https-tls	per-fedora-release	sudo dnf remove rpmfusion-free-release	platforms/fedora/lib/fedora.sh,platforms/fedora/scripts/install-asus-hardware.sh,platforms/fedora/scripts/install-desktop-tools.sh
rpmfusion-nonfree-release	RPM Fusion nonfree release package	RPM Fusion	rpm-package	https://mirrors.rpmfusion.org/nonfree/fedora/rpmfusion-nonfree-release-${fedora_version}.noarch.rpm	root	os-rolling	releasever	rpm -q rpmfusion-nonfree-release	https-tls	per-fedora-release	sudo dnf remove rpmfusion-nonfree-release	platforms/fedora/lib/fedora.sh,platforms/fedora/scripts/install-asus-hardware.sh,platforms/fedora/scripts/install-desktop-tools.sh
tailscale-repo	Tailscale package repository	Tailscale	rpm-repo	https://pkgs.tailscale.com/stable/fedora/tailscale.repo	root	os-rolling	stable	rpm -q tailscale	repo-gpg	rolling	sudo rm /etc/yum.repos.d/tailscale.repo	platforms/fedora/lib/tailscale.sh,platforms/fedora/scripts/install-tailscale.sh
mise-installer	mise standalone installer script	jdx	remote-script	https://mise.run	user	reviewed-live	latest	mise --version	https-tls	rolling	rm ~/.local/bin/mise and rerun	platforms/fedora-wsl/install.sh,platforms/parrot-ctf/install.sh,platforms/fedora-wsl/scripts/install-system.sh,platforms/parrot-ctf/scripts/install-system.sh
starship-installer	Starship prompt installer script	Starship	remote-script	https://starship.rs/install.sh	user	reviewed-live	latest	starship --version	https-tls	rolling	rm ~/.local/bin/starship and rerun	platforms/fedora-wsl/install.sh,platforms/fedora-wsl/scripts/install-system.sh
homebrew-installer	Homebrew installer script	Homebrew	remote-script	https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh	root	reviewed-live	HEAD	brew --version	https-tls	rolling	Homebrew uninstall script	scripts/bootstrap-macos.sh,platforms/macos/install.sh,platforms/macos/scripts/install-system.sh
homebrew-formulae	Homebrew formulae and casks	Homebrew	package-registry	https://formulae.brew.sh	user	version-line	Brewfile	brew bundle list	registry-tls	rolling	brew uninstall	platforms/macos/Brewfile,platforms/macos/scripts/install-system.sh
scoop-installer	Scoop installer script	Scoop	remote-script	https://get.scoop.sh	user	reviewed-live	latest	scoop --version	https-tls	rolling	scoop uninstall	platforms/windows/install.ps1
scoop-noctty-bucket	noctty terminal Scoop bucket	amanthanvi	git	https://github.com/amanthanvi/scoop-noctty	user	version-line	default-branch	scoop bucket list	https-tls	rolling	scoop bucket rm noctty	platforms/windows/install.ps1
scoop-extras-bucket	Official Scoop extras bucket (Handy dictation)	ScoopInstaller	git	https://github.com/ScoopInstaller/Extras	user	version-line	default-branch	scoop bucket list	https-tls	rolling	scoop bucket rm extras	platforms/windows/install.ps1
wsl-distribution-catalog	WSL distribution catalog	Microsoft	json-api	https://raw.githubusercontent.com/microsoft/WSL/master/distributions/DistributionInfo.json	user	reviewed-live	master	wsl --list --online	https-tls	rolling	not-applicable	platforms/windows/install.ps1
catppuccin-tmux	Catppuccin tmux theme	Catppuccin	git	https://github.com/catppuccin/tmux.git	user	exact-commit	v2.3.0	git rev-parse HEAD	git-tag-pinned	manual-bump	git checkout the previous tag	common/install-tmux-theme.sh
catppuccin-kde	Catppuccin KDE theme	Catppuccin	git	https://github.com/catppuccin/kde.git	user	exact-commit	v0.2.7	git rev-parse HEAD	git-tag-pinned	manual-bump	reinstall the previous tag	platforms/fedora/scripts/install-kde-theme.sh
catppuccin-bat-themes	Catppuccin bat/delta syntax themes	Catppuccin	file	https://raw.githubusercontent.com/catppuccin/bat/${bat_theme_commit}/themes/${encoded_name}	user	immutable-verified	6810349b28055dce54076712fc05fc68da4b8ec0	commit+sha256	sha256-pinned	manual-bump	restore the previous commit and digests	platforms/parrot-ctf/scripts/install-terminal.sh
hack-nerd-font	Hack Nerd Font release archive	Nerd Fonts	archive	https://github.com/ryanoasis/nerd-fonts/releases/download/v${font_version}/Hack.tar.xz	user	immutable-verified	pinned release + sha256	release tag + sha256	sha256-pinned	manual-bump	reinstall the previous version directory	platforms/parrot-ctf/scripts/install-terminal.sh
ghost-pepper-release	Ghost Pepper dictation application disk image	matthartman	archive	https://github.com/matthartman/ghost-pepper/releases/download/v${ghost_pepper_version}/GhostPepper.dmg	user	immutable-verified	pinned release + sha256	release tag + sha256	sha256-pinned	manual-bump	pin the previous release tag and sha256 in platforms/macos/lib/dictation.sh, then rerun with --dictation	platforms/macos/scripts/install-dictation.sh,platforms/macos/lib/dictation.sh
handy-release	Handy dictation application release RPM	cjpais	rpm-package	https://github.com/cjpais/Handy/releases/download/v${handy_version}/${handy_rpm}	root	immutable-verified	pinned release + sha256	release tag + sha256	sha256-pinned	manual-bump	reinstall the previously pinned release rpm and restore its digest	platforms/fedora/scripts/install-dictation.sh
mise-tool-registry	mise tool registry and backends	mise	package-registry	https://mise.jdx.dev/registry.html	user	version-line	config.toml	mise ls	registry-tls	rolling	mise uninstall	mise/.config/mise/config.toml,common/install-mise.sh
npm-registry	npm packages installed through mise	npm	package-registry	https://registry.npmjs.org	user	version-line	latest	mise ls	registry-tls	rolling	mise uninstall	common/install-ai.sh
opam-repository	OCaml Platform packages	OCaml	package-registry	https://opam.ocaml.org	user	exact-version	5.5.0 compiler	opam switch list	registry-tls	manual-bump	opam switch remove	common/install-ocaml.sh
mason-registry	Neovim LSP/DAP tooling	Mason registry	package-registry	https://github.com/mason-org/mason-registry	user	version-line	mason-packages.txt	mason-package-versions.txt	registry-tls	rolling	Mason uninstall	common/install-neovim-tools.sh,common/mason-package-versions.txt
mason-registry-crashdummyy	Neovim LSP/DAP tooling absent from the official registry (roslyn)	Crashdummyy	package-registry	https://github.com/Crashdummyy/mason-registry	user	version-line	mason-packages.txt	mason-package-versions.txt	registry-tls	rolling	Mason uninstall	common/bootstrap-mason.lua,nvim-lazyvim/.config/nvim/lua/plugins/dotnet.lua
lazyvim-plugins	Neovim plugin set	LazyVim and plugin authors	git	https://github.com/LazyVim/LazyVim	user	exact-commit	lazy-lock.json	lazy-lock.json	git-commit-pinned	manual-bump	git restore lazy-lock.json and :Lazy restore	nvim-lazyvim/.config/nvim/lazy-lock.json
