platform	command	provider	owner	required_by	classification
fedora	bash	bash	base	base	bootstrap-prerequisite
fedora	curl	curl	base	base	bootstrap-prerequisite
fedora	dnf	dnf	base	base	bootstrap-prerequisite
fedora	git	git	base	base	bootstrap-prerequisite
fedora	rpm	rpm	base	base	bootstrap-prerequisite
fedora	sudo	sudo	base	base	bootstrap-prerequisite
fedora	awk	gawk	base	base	supported-base
fedora	basename	coreutils	base	base	supported-base
fedora	cat	coreutils	base	base	supported-base
fedora	chmod	coreutils	base	base	supported-base
fedora	cut	coreutils	base	base	supported-base
fedora	date	coreutils	base	base	supported-base
fedora	df	coreutils	base	base	supported-base
fedora	dirname	coreutils	base	base	supported-base
fedora	find	findutils	base	base	supported-base
fedora	getent	glibc-common	base	base	supported-base
fedora	grep	grep	base	base	supported-base
fedora	id	coreutils	base	base	supported-base
fedora	install	coreutils	base	base	supported-base
fedora	mkdir	coreutils	base	base	supported-base
fedora	mktemp	coreutils	base	base	supported-base
fedora	mv	coreutils	base	base	supported-base
fedora	paste	coreutils	base	base	supported-base
fedora	pwd	bash	base	base	supported-base
fedora	readlink	coreutils	base	base	supported-base
fedora	realpath	coreutils	base	base	supported-base
fedora	rm	coreutils	base	base	supported-base
fedora	sed	sed	base	base	supported-base
fedora	sleep	coreutils	base	base	supported-base
fedora	sort	coreutils	base	base	supported-base
fedora	systemctl	systemd	base	base	supported-base
fedora	tr	coreutils	base	base	supported-base
fedora	uname	coreutils	base	base	supported-base
fedora	wc	coreutils	base	base	supported-base
fedora	bat	bat	base	base	baseline-package
fedora	delta	git-delta	base	base	baseline-package
fedora	eza	eza	base	base	baseline-package
fedora	fd	fd-find	base	base	baseline-package
fedora	firewall-cmd	firewalld	base	base	baseline-package
fedora	fzf	fzf	base	base	baseline-package
fedora	gh	gh	base	base	baseline-package
fedora	gpg	gnupg2	base	base	baseline-package
fedora	ghostty	ghostty	base	base	baseline-package
fedora	jq	jq	base	base,sway	baseline-package
fedora	mise	mise	base	base	baseline-package
fedora	nvim	neovim	base	base	baseline-package
fedora	rg	ripgrep	base	base	baseline-package
fedora	scp	openssh-clients	base	base	baseline-package
fedora	sftp	openssh-clients	base	base	baseline-package
fedora	shellcheck	ShellCheck	base	base	baseline-package
fedora	sqlite3	sqlite	base	base	baseline-package
fedora	ssh	openssh-clients	base	base	baseline-package
fedora	starship	starship	base	base	baseline-package
fedora	stow	stow	base	base	baseline-package
fedora	tmux	tmux	base	base	baseline-package
fedora	wl-copy	wl-clipboard	base	base	baseline-package
fedora	wl-paste	wl-clipboard	base	base	baseline-package
fedora	xdg-open	xdg-utils	base	base	baseline-package
fedora	zoxide	zoxide	base	base	baseline-package
fedora	zsh	zsh	base	base	baseline-package
fedora	blueman-manager	blueman	sway	sway	baseline-package
fedora	brightnessctl	brightnessctl	sway	sway	baseline-package
fedora	cliphist	cliphist	sway	sway	baseline-package
fedora	dex-autostart	dex-autostart	sway	sway	baseline-package
fedora	fuzzel	fuzzel	sway	sway	baseline-package
fedora	grim	grim	sway	sway	baseline-package
fedora	lxqt-policykit-agent	lxqt-policykit	sway	sway	baseline-package
fedora	mako	mako	sway	sway	baseline-package
fedora	nm-connection-editor	nm-connection-editor	sway	sway	baseline-package
fedora	pavucontrol	pavucontrol	sway	sway	baseline-package
fedora	playerctl	playerctl	sway	sway	baseline-package
fedora	slurp	slurp	sway	sway	baseline-package
fedora	sway	sway	sway	sway	baseline-package
fedora	swaybg	swaybg	sway	sway	baseline-package
fedora	swayidle	swayidle	sway	sway	baseline-package
fedora	swaylock	swaylock	sway	sway	baseline-package
fedora	sway-systemd-session	sway-systemd	sway	sway	baseline-package
fedora	swappy	swappy	sway	sway	baseline-package
fedora	waybar	waybar	sway	sway	baseline-package
fedora	dotfiles-sway	platforms/fedora/assets/dotfiles-sway	sway	sway	repository-file
